1,"FROST, CARMILLA"
2,KILLRAVEN/JONATHAN R
3,M'SHULLA
4,24-HOUR MAN/EMMANUEL
5,OLD SKULL
6,G'RATH
7,3-D MAN/CHARLES CHAN
8,HUMAN ROBOT
9,MARVEL BOY III/ROBER
10,GORILLA-MAN
11,VENUS II
12,"JONES, RICHARD MILHO"
13,WASP/JANET VAN DYNE 
14,LIBRA/GUSTAV BRANDT
15,CAPTAIN AMERICA
16,HAWK
17,ANT-MAN/DR. HENRY J.
18,PHARAOH RAMA-TUT
19,"BANNER, BETTY ROSS T"
20,"SLOAN, FRED"
21,DOC SAMSON/DR. LEONA
22,"ROSS, GEN. THADDEUS "
23,WOODGOD
24,HULK/DR. ROBERT BRUC
25,DARKSTAR/LAYNIA SERG
26,LOBO
27,INVISIBLE WOMAN/SUE 
28,MIKHLO
29,SHROUD/MAXIMILLIAN Q
30,SASQUATCH/WALTER LAN
31,"NORRISS, SISTER BARB"
32,URSA MAJOR/MIKHAIL U
33,CYCLOPS/SCOTT SUMMER
34,LOCKJAW [INHUMAN]
35,THING/BENJAMIN J. GR
36,WHIZZER/ROBERT L. FR
37,AURORA/JEANNE-MARIE 
38,BLACK WIDOW/NATASHA 
39,MOCKINGBIRD/DR. BARB
40,SCARLET WITCH/WANDA 
41,IKARIS/IKE HARRIS [E
42,IGOR
43,KARNAK [INHUMAN]
44,ANGEL/WARREN KENNETH
45,DEFENSOR
46,"CAGE, LUKE/CARL LUCA"
47,SABRA/RUTH BAT-SERAP
48,SHADOWCAT/KATHERINE 
49,ANT-MAN II/SCOTT HAR
50,CRYSTAL [INHUMAN]
51,DR. STRANGE/STEPHEN 
52,PROFESSOR X/CHARLES 
53,COLLECTIVE MAN
54,DR. DRUID/ANTHONY LU
55,QUICKSILVER/PIETRO M
56,SHE-HULK/JENNIFER WA
57,TORPEDO III/BROCK JO
58,BLACK PANTHER/T'CHAL
59,JACK OF HEARTS/JACK 
60,"DRUMM, JERICHO"
61,HELLCAT/PATSY WALKER
62,HELLSTORM/DAIMON HEL
63,GYPSY MOTH
64,IRON MAN/TONY STARK 
65,QUASAR III/WENDELL V
66,SERSI/SYLVIA
67,GRANDMASTER/EN DWI G
68,CRIMSON DYNAMO V/DIM
69,HAVOK/ALEX SUMMERS 
70,SPIDER-WOMAN/JESSICA
71,BLITZKRIEG/
72,NORTHSTAR/JEAN-PAUL 
73,STORM/ORORO MUNROE S
74,JOCASTA
75,REDWING
76,SUB-MARINER/NAMOR MA
77,HERCULES [GREEK GOD]
78,DEVIL-SLAYER/ERIC SI
79,STINGRAY/DR. WALTER 
80,NIGHTCRAWLER/KURT WA
81,SPIDER-MAN/PETER PAR
82,GUARDIAN/JAMES MACDO
83,TIGRA/GREER NELSON
84,RED WOLF III/WILL TA
85,WEREWOLF BY NIGHT/JA
86,PEATOR
87,VISION 
88,MOON KNIGHT/MARC SPE
89,COLOSSUS II/PETER RA
90,FALCON/SAM WILSON
91,TEXAS TWISTER/DREW D
92,RED GHOST/IVAN KRAGO
93,WONDER MAN/SIMON WIL
94,BEAST/HENRY &HANK& P
95,"PEREGRINE, LE/FRANCK"
96,BLACK KNIGHT V/DANE 
97,MOONDRAGON/HEATHER D
98,DAREDEVIL/MATT MURDO
99,SNOWBIRD/NARYA/ANNE 
100,SUNFIRE/SHIRO YOSHID
101,"ROM, SPACEKNIGHT"
102,SHANNA/SHANNA O'HARA
103,ICEMAN/ROBERT BOBBY 
104,GORGON [INHUMAN]
105,GARGOYLE II/ISAAC CH
106,THOR/DR. DONALD BLAK
107,NIGHTHAWK/KYLE RICHM
108,BLACK BOLT/BLACKANTO
109,VALINOR
110,IRON FIST/DANIEL RAN
111,CAPTAIN BRITAIN/BRIA
112,BROTHER VOODOO/DANIE
113,KA-ZAR/KEVIN PLUNDER
114,MR. FANTASTIC/REED R
115,ARABIAN KNIGHT/ABDUL
116,HUMAN TORCH/JOHNNY S
117,MACHINE MAN/X-51
118,SHAMROCK/MOLLY FITZG
119,MEDUSA/MEDUSALITH AM
120,AJAK/TECUMOTZIN [ETE
121,SHAMAN/MICHAEL TWOYO
122,"O'BRIEN, MICHAEL"
123,VANGUARD/NICOLAI KRY
124,WOLVERINE/LOGAN 
125,DAZZLER II/ALLISON B
126,TALISMAN
127,TRITON
128,PALADIN/PAUL DENNIS
129,LIVING MUMMY
130,FANDRAL [ASGARDIAN]
131,VOLSTAGG
132,4-D MAN/MERCURIO
