-0.28359,0.51762,13.778
0.097039,0.22967,11.878
0.94457,1.5663,11.302
-0.20333,-2.226,12.203
1.0779,1.2032,10.08
0.98422,-0.15307,10.004
-0.03148,1.278,11.834
3.5595,0.81114,12.194
1.1793,1.4026,13.019
1.2569,1.9682,10.585
1.56,-0.017975,11.462
1.1903,2.559,12.787
2.8998,2.3401,13.627
1.0266,1.9113,12.05
0.66086,3.0618,12.739
2.1238,0.973,12.296
3.0544,2.8686,12.667
2.0923,2.7352,11.974
2.65,3.9774,11.604
3.156,2.8509,13.902
2.0012,4.7344,13.799
4.0905,5.1541,13.705
3.5444,4.296,13.594
3.0674,3.234,12.249
4.9264,3.9025,11.998
2.5808,3.3568,12.848
2.9037,5.4164,14.021
4.143,3.9207,13.722
6.462,5.1844,14.831
3.1499,5.1301,14.545
3.1721,6.1847,13.952
4.863,4.7686,13.35
4.7545,5.6025,11.564
5.5554,6.7581,13.408
4.8564,7.123,12.021
4.6589,6.4782,13.893
4.6287,5.3733,13.961
5.8265,5.3881,13.991
6.1825,7.0946,15.14
6.2174,7.3399,13.365
5.5613,6.3785,13.991
5.0291,7.3659,14.628
5.0343,9.7494,15.218
5.1832,7.1759,14.063
4.863,7.2735,13.815
6.6119,7.8492,12.767
6.1338,8.5432,14.281
6.044,9.4644,13.952
8.382,8.8286,15.006
8.6891,8.9297,14.761
6.5659,9.8223,13.151
6.6093,9.1968,14.508
8.0419,10.422,13.07
8.2057,11.286,13.805
8.3515,10.556,15.673
8.7898,10.865,14.171
6.8937,9.8155,13.378
9.4073,9.8387,11.4
7.8277,11.58,13.897
9.8169,11.175,13.427
8.424,10.961,12.431
8.2557,13.045,12.856
8.5079,12.962,12.924
10.837,12.735,11.953
9.389,11.225,12.331
8.7327,14.016,13.098
10.027,14.853,12.892
11.108,14.771,13.047
10.736,16.084,13.562
9.9651,14.945,11.51
10.121,12.779,10.268
10.419,15.772,12.264
10.024,13.67,12.29
9.2779,14.986,12.303
11.798,16.578,14.348
10.338,16.775,11.13
11.128,17.842,11.312
10.307,18.711,11.483
9.8166,15.987,9.7782
11.411,18.395,10.143
10.752,16.469,11.875
10.368,16.959,10.437
10.602,18.265,11.307
11.094,19.674,9.6569
12.327,19.24,11.124
13.022,18.661,9.8769
13.571,18.531,8.6726
11.532,18.135,10.104
13.466,21.968,9.7051
12.586,19.512,8.3389
13.025,19.459,8.8518
12.699,19.763,9.1028
13.309,21.47,6.9405
13.172,20.166,4.8816
14.832,22.041,6.4225
14.141,20.51,6.4836
13.578,21.418,8.4084
15.11,22.414,5.9245
12.292,23.209,6.2161
14.818,23.875,5.764
13.707,22.6,5.8825
13.931,21.575,5.3946
15.336,23.929,6.2502
14.176,22.118,5.3771
15.654,22.586,5.7088
15.07,22.708,4.2199
15.093,23.247,5.0585
15.133,23.655,4.7008
19.202,24.291,2.0246
15.039,23.572,1.4868
16.129,24.595,4.0782
15.334,24.077,3.1529
18.112,26.434,3.1829
16.23,25.135,2.7788
14.889,27.771,0.5208
14.787,25.689,0.42343
18.009,27.528,1.4192
17.631,26.635,0.40278
16.376,27.602,1.6459
16.353,27.421,1.4769
18.177,26.002,-1.4917
